Provinsi/Kabupaten/Kota,,,,,,,
,[Metode Baru] Indeks Pembangunan Manusia,,,,,,
,2022,2023,,,,,
ACEH,72.8,73.4,,,,,
Simeulue,67.27,68.06,,,,,
Aceh Singkil,69.62,70.14,,,,,
Aceh Selatan,67.87,68.44,,,,,
Aceh Tenggara,70.32,71.05,,,,,
Aceh Timur,68.72,69.32,,,,,
Aceh Tengah,73.95,74.6,,,,,
Aceh Barat,72.34,72.88,,,,,
Aceh Besar,74,74.53,,,,,
Pidie,71.2,71.66,,,,,
Bireuen,73.16,73.63,,,,,
Aceh Utara,70.22,70.87,,,,,
Aceh Barat Daya,67.41,68.07,,,,,
Gayo Lues,68.25,68.93,,,,,
Aceh Tamiang,70.43,71.35,,,,,
Nagan Raya,70.1,70.78,,,,,
Aceh Jaya,70.36,70.88,,,,,
Bener Meriah,73.9,74.49,,,,,
Pidie Jaya,74.34,74.8,,,,,
Kota Banda Aceh,86.28,86.69,,,,,
Kota Sabang,76.85,77.52,,,,,
Kota Langsa,77.82,78.36,,,,,
Kota Lhokseumawe,78.04,78.92,,,,,
Kota Subulussalam,66.2,67.1,,,,,
SUMATERA UTARA,72.71,73.37,,,,,
Nias,63.69,64.56,,,,,
Mandailing Natal,68.05,68.56,,,,,
Tapanuli Selatan,70.92,71.55,,,,,
Tapanuli Tengah,70.31,70.91,,,,,
Tapanuli Utara,74.14,74.65,,,,,
Toba Samosir / Toba,75.96,76.38,,,,,
Labuhan Batu,72.92,73.69,,,,,
Asahan,71.13,71.56,,,,,
Simalungun,73.77,74.29,,,,,
Dairi,72.56,73.27,,,,,
Karo,75.36,75.98,,,,,
Deli Serdang,76.19,76.52,,,,,
Langkat,71.86,72.21,,,,,
Nias Selatan,63.17,64.12,,,,,
Humbang Hasundutan,70.32,70.75,,,,,
Pakpak Bharat,68.85,69.58,,,,,
Samosir,71.67,72.08,,,,,
Serdang Bedagai,71.21,71.75,,,,,
Batu Bara,69.51,70.31,,,,,
Padang Lawas Utara,70.93,71.63,,,,,
Padang Lawas,69.58,70.34,,,,,
Labuhan Batu Selatan,72.16,72.82,,,,,
Labuhan Batu Utara,72.77,73.63,,,,,
Nias Utara,63.75,64.64,,,,,
Nias Barat,62.93,63.7,,,,,
Kota Sibolga,74.74,75.2,,,,,
Kota Tanjung Balai,69.86,70.59,,,,,
Kota Pematang Siantar,79.7,80.46,,,,,
Kota Tebing Tinggi,76.17,76.98,,,,,
Kota Medan,81.76,82.19,,,,,
Kota Binjai,76.95,77.6,,,,,
Kota Padangsidimpuan,76.05,76.44,,,,,
Kota Gunungsitoli,70.23,70.68,,,,,
SUMATERA BARAT,73.26,73.75,,,,,
Kepulauan Mentawai,62.19,63.13,,,,,
Pesisir Selatan,70.84,71.44,,,,,
Solok,70.02,70.63,,,,,
Sijunjung,68.69,69.65,,,,,
Tanah Datar,73.29,73.98,,,,,
Padang Pariaman,71.63,72.61,,,,,
Agam,73.29,73.98,,,,,
Lima Puluh Kota,70.28,70.7,,,,,
Pasaman,67.41,68.13,,,,,
Solok Selatan,69.71,70.58,,,,,
Dharmasraya,72.3,73.04,,,,,
Pasaman Barat,69.57,70.19,,,,,
Kota Padang,83.29,83.58,,,,,
Kota Solok,79.23,79.58,,,,,
Kota Sawah Lunto,73.73,74.42,,,,,
Kota Padang Panjang,78.78,79.26,,,,,
Kota Bukittinggi,81.42,81.78,,,,,
Kota Payakumbuh,79.53,79.97,,,,,
Kota Pariaman,77.65,78.13,,,,,
RIAU,73.52,74.04,,,,,
Kuantan Singingi,71.09,71.67,,,,,
Indragiri Hulu,70.46,71.04,,,,,
Indragiri Hilir,67.37,67.98,,,,,
Pelalawan,72.93,73.59,,,,,
Siak,74.5,74.98,,,,,
Kampar,73.84,74.24,,,,,
Rokan Hulu,70.31,71.02,,,,,
Bengkalis,74.38,74.97,,,,,
Rokan Hilir,70.1,70.78,,,,,
Kepulauan Meranti,66.52,67.28,,,,,
Kota Pekanbaru,82.06,82.38,,,,,
Kota Dumai,75.26,75.66,,,,,
JAMBI,72.14,72.77,,,,,
Kerinci,71.99,72.54,,,,,
Merangin,69.98,70.81,,,,,
Sarolangun,70.89,71.29,,,,,
Batang Hari,70.51,71.02,,,,,
Muaro Jambi,70.18,71.04,,,,,
Tanjung Jabung Timur,65.77,66.65,,,,,
Tanjung Jabung Barat,68.79,69.35,,,,,
Tebo,69.78,70.63,,,,,
Bungo,70.55,71.06,,,,,
Kota Jambi,79.58,80.15,,,,,
Kota Sungai Penuh,76.17,76.65,,,,,
SUMATERA SELATAN,70.9,71.62,,,,,
Ogan Komering Ulu,70.24,71.01,,,,,
Ogan Komering Ilir,68.02,68.65,,,,,
Muara Enim,69.43,70.24,,,,,
Lahat,68.4,69.1,,,,,
Musi Rawas,67.78,68.26,,,,,
Musi Banyuasin,68.6,69.17,,,,,
Banyu Asin,67.93,68.65,,,,,
Ogan Komering Ulu Selatan,65.87,66.67,,,,,
Ogan Komering Ulu Timur,70.23,70.96,,,,,
Ogan Ilir,67.96,68.76,,,,,
Empat Lawang,66,66.68,,,,,
Penukal Abab Lematang Ilir,65.75,66.64,,,,,
Musi Rawas Utara,65.74,66.6,,,,,
Kota Palembang,79.47,80.02,,,,,
Kota Prabumulih,75.52,76.46,,,,,
